,open,high,low,close,volume
2022-01-31,38608.58717152244,38707.31463585539,38343.073087371486,38524.76338796239,516762201.9890693
2022-02-01,38730.2769416243,38752.1398152714,38678.09393169293,38715.09917111365,872425785.7743396
2022-02-02,39643.565033564446,39765.390158129696,38270.980455372046,39011.0301010115,869595983.7420585
2022-02-03,39315.22148321076,39464.05277448068,38959.01005669573,39210.71829129077,135064213.29878792
2022-02-04,39517.64468789307,39731.54166485057,38771.21115084824,39248.43934778358,674438127.9664466
2022-02-07,39122.47391655819,41233.76600287756,37640.256263427895,39396.05968944778,884183226.8650415
2022-02-08,39791.273977346194,40030.013441367875,39392.26337792675,39709.858127476495,1988185632.004526
2022-02-09,39721.85770136103,40346.919028635544,39479.073716003804,39910.63756124599,1354041050.9380946
2022-02-10,40404.516538283184,41323.173920281886,38930.472035324536,40108.984862676174,6238307470.077055
2022-02-11,40324.86899057884,41629.617228030715,39015.63853146209,40301.44039574731,1304670322.321288
2022-02-14,40611.51567515457,40649.16322585451,40575.37069818492,40612.25020187964,239159610.32498798
2022-02-15,41176.4539946316,41406.77896696153,39757.15474342259,40573.584002601805,1238834793.7527776
2022-02-16,41036.6785217151,41045.18554633054,40537.14572611762,40790.37469608655,728457526.6679267
2022-02-17,40826.58011940862,42013.52739606705,40135.778233568555,41063.92112765784,1603533448.180777
2022-02-18,41716.40684539112,41838.65921774967,40869.544889368626,41351.26311264042,278720247.5565563
2022-02-21,41450.92975084397,41837.772392510706,41240.97261632494,41538.30070630682,423045044.81318355
2022-02-22,41558.745315792745,42219.41913204586,41341.09761790293,41777.95025739136,963205458.0506486
2022-02-23,41506.281867864185,42680.7416212542,41204.66012932482,41936.20694067726,1026649883.1848975
2022-02-24,42179.967559684876,42360.621146314996,42103.07455838636,42231.651524216504,6137367005.124581
2022-02-25,42235.58635591857,43239.58090205894,41709.969216169164,42467.88890850279,1369518276.7256212
2022-02-28,43286.886168834775,43518.33846131557,41824.3568635587,42662.94080247158,293823896.84290093
2022-03-01,42986.87288224753,43212.931045674006,42370.74706750325,42789.76713399726,154823746.63540414
2022-03-02,43083.027188440195,43305.41108826789,42612.022601552424,42957.3178406519,2231456550.963203
2022-03-03,43052.920270028415,43053.11678670009,43014.40463287949,43033.75635672227,1376678904.8290548
2022-03-04,43327.3240809008,43392.32317183173,42883.06096345703,43136.94054895049,569939426.8739163
2022-03-07,43162.41802267639,43566.79366547642,42945.67487286347,43255.11941967885,2349388914.9230204
2022-03-08,43168.62140232063,44122.6717810565,42714.382095636174,43412.81678878245,973617480.9242245
2022-03-09,43531.01864946578,44017.822856481755,43182.60815443516,43598.215516495526,262908506.4932109
2022-03-10,43286.941053600494,44588.65428084181,42879.52129330068,43725.73785169301,80940789.75210644
2022-03-11,43781.17189835429,44421.35661953534,43303.4309920061,43858.832074570135,652873238.0644228
2022-03-14,44252.81940419909,44288.405692313856,44058.46435584774,44173.285406138115,1151365887.2844093
2022-03-15,44267.78437490814,44337.81287963231,43948.98397996634,44142.970311859455,359513233.47099304
2022-03-16,44141.0576963813,44249.20247112733,44104.48939145106,44176.78667544761,383912576.96563166
2022-03-17,44077.9634365397,44445.378455527956,44070.106653244235,44257.34480037094,245910645.53535163
2022-03-18,45435.237817286645,46912.99796853312,42039.333684118734,44409.35910054938,3662187998.7975087
2022-03-21,44696.33381709618,45113.6775902172,44330.62232139963,44720.436075482416,132027196.8618589
2022-03-22,44710.76828964037,45026.69711971257,44569.86567931755,44797.69907717252,518742433.2020519
2022-03-23,45061.10915385413,45395.10674268545,44290.775056561666,44839.54127116921,3574154592.5315795
2022-03-24,44769.53359475749,45729.69423478557,44134.1145282562,44924.82123169956,4271436573.3933425
2022-03-25,45653.67964713329,45792.41112617375,44261.923578428774,45020.66416367815,2543980491.138859
2022-03-28,45497.92832824722,45532.70663331966,44969.19473313484,45250.07349519393,1615355736.0795124
2022-03-29,45404.053674729694,46274.57521109064,44724.64288079357,45493.00881208509,1291721123.4480934
2022-03-30,45627.25754793231,45636.597006497286,45463.40471600738,45549.918546224835,386153037.5838918
2022-03-31,45349.97531272841,45875.604430595056,45164.4155791763,45518.62106269583,252914045.4044194
2022-04-01,45683.56297530841,45926.60018071184,44701.943509165314,45310.13448276447,187578970.47074273
2022-04-04,45183.039509385504,45406.142697462245,44541.77564489203,44971.88255933163,2400076248.577091
