,regime
2022-01-31,choppy
2022-02-01,choppy
2022-02-02,choppy
2022-02-03,choppy
2022-02-04,choppy
2022-02-07,choppy
2022-02-08,choppy
2022-02-09,choppy
2022-02-10,choppy
2022-02-11,choppy
2022-02-14,choppy
2022-02-15,choppy
2022-02-16,choppy
2022-02-17,choppy
2022-02-18,choppy
2022-02-21,choppy
2022-02-22,choppy
2022-02-23,choppy
2022-02-24,choppy
2022-02-25,choppy
2022-02-28,choppy
2022-03-01,choppy
2022-03-02,choppy
2022-03-03,choppy
2022-03-04,choppy
2022-03-07,choppy
2022-03-08,choppy
2022-03-09,choppy
2022-03-10,choppy
2022-03-11,choppy
2022-03-14,choppy
2022-03-15,choppy
2022-03-16,choppy
2022-03-17,choppy
2022-03-18,choppy
2022-03-21,choppy
2022-03-22,choppy
2022-03-23,choppy
2022-03-24,choppy
2022-03-25,choppy
2022-03-28,choppy
2022-03-29,choppy
2022-03-30,choppy
2022-03-31,choppy
2022-04-01,choppy
2022-04-04,choppy
2022-04-05,choppy
2022-04-06,choppy
2022-04-07,choppy
2022-04-08,choppy
2022-04-11,bull
2022-04-12,choppy
2022-04-13,choppy
2022-04-14,choppy
2022-04-15,choppy
2022-04-18,choppy
2022-04-19,choppy
2022-04-20,choppy
2022-04-21,choppy
2022-04-22,choppy
2022-04-25,choppy
2022-04-26,choppy
2022-04-27,choppy
2022-04-28,choppy
2022-04-29,choppy
2022-05-02,choppy
2022-05-03,choppy
2022-05-04,choppy
2022-05-05,choppy
2022-05-06,choppy
2022-05-09,choppy
2022-05-10,choppy
2022-05-11,choppy
2022-05-12,choppy
2022-05-13,choppy
2022-05-16,choppy
2022-05-17,bear
2022-05-18,bear
2022-05-19,bear
2022-05-20,bear
2022-05-23,bear
2022-05-24,bear
2022-05-25,bear
2022-05-26,bear
2022-05-27,bear
2022-05-30,bear
2022-05-31,bear
2022-06-01,bear
2022-06-02,bear
2022-06-03,bear
2022-06-06,bear
2022-06-07,bear
2022-06-08,bear
2022-06-09,bear
2022-06-10,bear
2022-06-13,bear
2022-06-14,bear
2022-06-15,bear
2022-06-16,bear
2022-06-17,bear
2022-06-20,bear
2022-06-21,bear
2022-06-22,bear
2022-06-23,bear
2022-06-24,bear
2022-06-27,bear
2022-06-28,bear
2022-06-29,bear
2022-06-30,bear
2022-07-01,bear
2022-07-04,crash
2022-07-05,crash
2022-07-06,crash
2022-07-07,crash
2022-07-08,crash
2022-07-11,crash
2022-07-12,crash
2022-07-13,crash
2022-07-14,crash
2022-07-15,crash
2022-07-18,crash
2022-07-19,crash
2022-07-20,crash
2022-07-21,crash
2022-07-22,crash
2022-07-25,crash
2022-07-26,crash
2022-07-27,crash
2022-07-28,crash
2022-07-29,crash
2022-08-01,high_vol_cluster
2022-08-02,crash
2022-08-03,crash
2022-08-04,crash
2022-08-05,crash
2022-08-08,crash
2022-08-09,crash
2022-08-10,crash
2022-08-11,crash
2022-08-12,crash
2022-08-15,crash
2022-08-16,crash
2022-08-17,crash
2022-08-18,crash
2022-08-19,crash
2022-08-22,crash
2022-08-23,crash
2022-08-24,crash
2022-08-25,crash
2022-08-26,crash
2022-08-29,crash
2022-08-30,crash
2022-08-31,crash
2022-09-01,crash
2022-09-02,crash
2022-09-05,bear
2022-09-06,bear
2022-09-07,bear
2022-09-08,bear
2022-09-09,bear
2022-09-12,bear
2022-09-13,bear
2022-09-14,bear
2022-09-15,bear
2022-09-16,bear
2022-09-19,bear
2022-09-20,bear
2022-09-21,bear
2022-09-22,bear
2022-09-23,bear
2022-09-26,bear
2022-09-27,bear
2022-09-28,bear
2022-09-29,bear
2022-09-30,bear
2022-10-03,bear
2022-10-04,bear
2022-10-05,bear
2022-10-06,bear
2022-10-07,bear
2022-10-10,bear
2022-10-11,bear
2022-10-12,bear
2022-10-13,bear
2022-10-14,bear
2022-10-17,bear
2022-10-18,choppy
2022-10-19,choppy
2022-10-20,choppy
2022-10-21,choppy
2022-10-24,choppy
2022-10-25,choppy
2022-10-26,choppy
2022-10-27,choppy
2022-10-28,choppy
2022-10-31,choppy
2022-11-01,choppy
2022-11-02,choppy
2022-11-03,choppy
2022-11-04,choppy
2022-11-07,bear
2022-11-08,bear
2022-11-09,bear
2022-11-10,bear
2022-11-11,bear
2022-11-14,crash
2022-11-15,crash
2022-11-16,crash
2022-11-17,crash
2022-11-18,crash
2022-11-21,crash
2022-11-22,crash
2022-11-23,crash
2022-11-24,crash
2022-11-25,crash
2022-11-28,crash
2022-11-29,bear
2022-11-30,bear
2022-12-01,bear
2022-12-02,bear
2022-12-05,bear
2022-12-06,bear
2022-12-07,bear
2022-12-08,bear
2022-12-09,bear
2022-12-12,bear
2022-12-13,bear
2022-12-14,bear
2022-12-15,bear
2022-12-16,bear
2022-12-19,bear
2022-12-20,bear
2022-12-21,bear
2022-12-22,bear
2022-12-23,bear
2022-12-26,bear
2022-12-27,bear
2022-12-28,bear
2022-12-29,bear
2022-12-30,bear
2023-01-02,bear
2023-01-03,bear
2023-01-04,bear
2023-01-05,bear
2023-01-06,high_vol_cluster
2023-01-09,high_vol_cluster
2023-01-10,high_vol_cluster
2023-01-11,high_vol_cluster
2023-01-12,high_vol_cluster
2023-01-13,high_vol_cluster
2023-01-16,high_vol_cluster
2023-01-17,high_vol_cluster
2023-01-18,high_vol_cluster
2023-01-19,high_vol_cluster
2023-01-20,high_vol_cluster
2023-01-23,high_vol_cluster
2023-01-24,high_vol_cluster
2023-01-25,high_vol_cluster
2023-01-26,high_vol_cluster
2023-01-27,high_vol_cluster
2023-01-30,high_vol_cluster
2023-01-31,high_vol_cluster
2023-02-01,high_vol_cluster
2023-02-02,high_vol_cluster
2023-02-03,high_vol_cluster
2023-02-06,high_vol_cluster
2023-02-07,high_vol_cluster
2023-02-08,high_vol_cluster
2023-02-09,high_vol_cluster
2023-02-10,high_vol_cluster
2023-02-13,high_vol_cluster
2023-02-14,high_vol_cluster
