,open,high,low,close,volume
2023-01-01,31000.0,31092.890712439617,30850.104321232924,30900.02006987528,4003598.091368321
2023-01-02,30900.02006987528,31110.538988617736,30403.24789986091,30620.180542467846,2109949.42420802
2023-01-03,30620.180542467846,30961.79721037151,29706.358391496826,29877.827475599453,4384434.560842695
2023-01-04,29877.827475599453,32011.06483557967,29172.727356676558,31179.157235307284,5231646.647471607
2023-01-05,31179.157235307284,31714.665068964387,30104.02134546539,30451.918588987854,2746607.9826517035
2023-01-06,30451.918588987854,30697.917579373792,29477.4887379401,29872.922844764355,2265930.541082212
2023-01-07,29872.922844764355,30092.526097559727,29800.217832733044,29953.003935453016,2681749.410944659
2023-01-08,29953.003935453016,30579.15743026422,29731.47701549835,30343.513379886994,4456933.493134189
2023-01-09,30343.513379886994,30611.610777013222,29915.072993247297,30069.538187432678,2916006.129698803
2023-01-10,30069.538187432678,30257.75381469617,29937.469702856066,30179.5419252923,3096657.2439522725
2023-01-11,30179.5419252923,30576.252969037083,30010.13333794105,30334.148336013575,4374415.243864622
2023-01-12,30334.148336013575,30451.21753690383,30188.473038688393,30360.72365155255,3405042.476753716
2023-01-13,30360.72365155255,30674.95482737738,30190.36237663104,30541.9629925612,4277642.572818283
2023-01-14,30541.9629925612,31861.793846821427,29974.102582011088,31539.22599598753,2913480.129711038
2023-01-15,31539.22599598753,31985.580283569998,31444.232277371833,31801.696284120982,4304219.847304728
2023-01-16,31801.696284120982,32704.574956441567,31672.29542302635,32351.218514669745,4110994.305620703
2023-01-17,32351.218514669745,32571.373320574687,31902.142700509834,32056.023152299058,6920500.072493984
2023-01-18,32056.023152299058,32998.53704443567,31929.596978116548,32612.601465046813,4887998.885786223
2023-01-19,32612.601465046813,33645.36445183342,32084.446216375516,33245.81971320064,5626450.39595458
2023-01-20,33245.81971320064,33368.612462887446,33028.278222254405,33151.18942906749,3360567.1311881193
2023-01-21,33151.18942906749,33835.55082491896,32894.44789180995,33607.62261212694,5365307.143786719
2023-01-22,33607.62261212694,34456.21349848645,33331.65337736811,34080.74521885381,6380067.111233912
2023-01-23,34080.74521885381,34746.71523565055,33900.58920220789,34615.33785874014,3020183.4135396113
2023-01-24,34615.33785874014,34745.068185948396,34470.5686300803,34663.13567384741,2646241.532553606
2023-01-25,34663.13567384741,34799.25358985802,34250.15557536071,34410.67542272921,3486732.0939727034
2023-01-26,34410.67542272921,34591.09667610767,33779.29185372856,34030.160764741064,3173641.5905746454
2023-01-27,34030.160764741064,34168.596731384554,33833.50499251388,33996.11635102861,2851338.506694065
2023-01-28,33996.11635102861,34130.26952699981,33589.76141445228,33811.066112319364,4362210.153544153
2023-01-29,33811.066112319364,33980.11522112254,33632.76049987982,33831.32213993484,2972104.959285605
2023-01-30,33831.32213993484,33988.84591058925,33654.07707894376,33919.33027219666,1720109.0439317578
2023-01-31,33919.33027219666,34115.09581590487,33538.59224823835,33720.70987275499,3438007.753079032
2023-02-01,33720.70987275499,35751.202146751006,33333.121636767246,35163.84583041744,4040669.5868797475
2023-02-02,35163.84583041744,35284.75652557841,34934.14724830405,35052.44221746228,2956781.934131154
2023-02-03,35052.44221746228,35376.40838313973,34908.60031936239,35232.263625971624,3674327.8254565867
2023-02-04,35232.263625971624,35422.58222505271,34558.69872246518,34850.36554546594,2760248.035027611
2023-02-05,34850.36554546594,35160.7148928523,34374.067126431,34596.13337788123,4467634.180995889
2023-02-06,34596.13337788123,34997.829934044996,34437.958387644576,34864.90421466223,2421039.184945902
2023-02-07,34864.90421466223,36404.36215299129,34337.41211800431,35723.618057161046,3584804.536227306
2023-02-08,35723.618057161046,36329.768799686935,35372.99677484928,36051.287251120884,1815848.5770267583
2023-02-09,36051.287251120884,36447.09991047478,35182.891733685785,35608.62398062336,4404301.751689719
2023-02-10,35608.62398062336,36335.08905730994,35375.21559388194,36178.080492256595,4363346.2481234595
2023-02-11,36178.080492256595,37017.726456545,34398.80417461369,35086.60439932358,3654162.995197478
2023-02-12,35086.60439932358,37093.28207622645,34355.443443893455,36325.117660761854,6108081.887542076
2023-02-13,36325.117660761854,36492.51071983285,35803.933047749764,36018.98789273938,1715763.496284821
2023-02-14,36018.98789273938,37093.078686903085,35844.289177822764,36766.18783900663,2477129.0622989023
2023-02-15,36766.18783900663,36818.641691476005,36451.33689244624,36647.62150349504,3503490.8033409356
2023-02-16,36647.62150349504,38131.79649522257,36065.77752908552,37824.62796966847,4386124.456914714
2023-02-17,37824.62796966847,39863.90117937562,37524.11826750524,38982.254279437286,4338338.702423321
2023-02-18,38982.254279437286,39683.91407154437,38774.63686857576,39475.99518950108,3778121.4242646657
2023-02-19,39475.99518950108,40736.39279171755,39276.838756843536,40172.406878015776,5773346.97844898
2023-02-20,40172.406878015776,40530.61328841008,39972.71385292673,40279.33909363748,2541047.613774344
2023-02-21,40279.33909363748,40435.264128126284,40089.331350835,40311.536794311876,3552686.2987861154
2023-02-22,40311.536794311876,40708.10898941025,40102.72035969746,40478.18201889778,3958987.8418717515
2023-02-23,40478.18201889778,41137.229338295525,40126.80989102041,40967.18402034041,3496122.984102658
2023-02-24,40967.18402034041,42298.86413276496,40394.0422379969,41899.7341658634,4264095.707832186
2023-02-25,41899.7341658634,42331.13673418433,41646.333980773925,42063.64281259792,3353173.2581379144
2023-02-26,42063.64281259792,42271.23556495108,41191.558824124964,41527.3289322596,3571021.4023642153
2023-02-27,41527.3289322596,42460.45100810529,41231.478114220175,42053.94920953256,2366699.1316889822
2023-02-28,42053.94920953256,42429.33991046409,41514.96172170718,41740.2987696669,4612443.340388255
2023-03-01,41740.2987696669,41954.094186498565,41487.562190210636,41595.27148755376,2906542.5136174615
2023-03-02,41595.27148755376,43247.84599551213,41169.75287812346,42549.41565049333,3145096.139729854
2023-03-03,42549.41565049333,42629.63846571973,42315.96181452462,42410.09934440115,2285242.1081838068
2023-03-04,42410.09934440115,43147.957926895484,42088.55964491559,42743.30666950588,3681961.8107231036
2023-03-05,42743.30666950588,43015.84383425914,42525.30406388049,42926.0587650527,2450341.662452241
2023-03-06,42926.0587650527,44080.29311089046,42662.4657844788,43729.669748099965,5085478.005454416
2023-03-07,43729.669748099965,45027.324610997304,43446.174004714514,44439.94990002535,2737842.8299447144
2023-03-08,44439.94990002535,44589.12904338025,44115.701632800265,44366.51667452766,2598829.6423529917
2023-03-09,44366.51667452766,44867.17638304044,43457.90515294205,43761.859054885186,4257399.197433883
2023-03-10,43761.859054885186,46092.79744676752,42727.08801998382,45214.15191086952,3830749.529889079
2023-03-11,45214.15191086952,46348.733517800385,44741.806804433596,45908.668127871664,2598562.3472172334
2023-03-12,45908.668127871664,46652.82874010348,44179.20691381973,44909.61501443594,4555443.695949966
2023-03-13,44909.61501443594,45174.22951821023,44805.43267799375,45003.21031880567,2275004.76572153
2023-03-14,45003.21031880567,45568.15753324264,44713.86697358593,45237.22369611404,3532261.7765318267
2023-03-15,45237.22369611404,46954.488652616594,44791.36052277181,46428.492935747185,3404254.8767477325
2023-03-16,46428.492935747185,46597.06925318569,45743.43731123071,45888.66759920693,2564862.384751429
2023-03-17,45888.66759920693,48973.81611690111,44711.78381872525,47889.35287371271,2604380.6937658214
2023-03-18,47889.35287371271,48201.4906687459,47414.207776630254,47642.96229049919,4303159.386820287
2023-03-19,47642.96229049919,47768.04325094192,47046.812828205824,47363.49535615227,4268432.075350377
2023-03-20,47363.49535615227,47789.30233053382,47222.08409830737,47500.63203657838,4794314.046266907
2023-03-21,47500.63203657838,47893.012464734216,47378.57224113274,47665.862250194186,3496949.0150993373
2023-03-22,47665.862250194186,47854.617333393435,47594.06034446343,47781.01728471478,4423648.349999162
2023-03-23,47781.01728471478,47942.687712666004,47697.443550916316,47779.59398055671,4209570.545601699
2023-03-24,47779.59398055671,48155.323301649885,47444.206703281845,48015.317514520844,2142525.8689388437
