,regime
2023-01-01,bull
2023-01-02,bull
2023-01-03,bull
2023-01-04,bull
2023-01-05,bull
2023-01-06,bull
2023-01-07,bull
2023-01-08,bull
2023-01-09,bull
2023-01-10,bull
2023-01-11,bull
2023-01-12,bull
2023-01-13,bull
2023-01-14,bull
2023-01-15,bull
2023-01-16,bull
2023-01-17,bull
2023-01-18,bull
2023-01-19,bull
2023-01-20,bull
2023-01-21,bull
2023-01-22,bull
2023-01-23,bull
2023-01-24,bull
2023-01-25,bull
2023-01-26,bull
2023-01-27,bull
2023-01-28,bull
2023-01-29,bull
2023-01-30,bull
2023-01-31,bull
2023-02-01,bull
2023-02-02,bull
2023-02-03,bull
2023-02-04,bull
2023-02-05,bull
2023-02-06,bull
2023-02-07,bull
2023-02-08,bull
2023-02-09,bull
2023-02-10,bull
2023-02-11,bull
2023-02-12,bull
2023-02-13,bull
2023-02-14,bull
2023-02-15,bull
2023-02-16,bull
2023-02-17,bull
2023-02-18,bull
2023-02-19,bull
2023-02-20,bull
2023-02-21,bull
2023-02-22,bull
2023-02-23,bull
2023-02-24,bull
2023-02-25,bull
2023-02-26,bull
2023-02-27,bull
2023-02-28,bull
2023-03-01,bull
2023-03-02,bull
2023-03-03,bull
2023-03-04,bull
2023-03-05,bull
2023-03-06,bull
2023-03-07,bull
2023-03-08,bull
2023-03-09,bull
2023-03-10,bull
2023-03-11,bull
2023-03-12,bull
2023-03-13,bull
2023-03-14,bull
2023-03-15,bull
2023-03-16,bull
2023-03-17,bull
2023-03-18,bull
2023-03-19,bull
2023-03-20,bull
2023-03-21,bull
2023-03-22,bull
2023-03-23,bull
2023-03-24,bull
2023-03-25,bull
2023-03-26,bull
2023-03-27,bull
2023-03-28,bull
2023-03-29,bull
2023-03-30,bull
2023-03-31,bull
2023-04-01,bull
2023-04-02,bull
2023-04-03,bull
2023-04-04,bull
2023-04-05,bull
2023-04-06,bull
2023-04-07,bull
2023-04-08,bull
2023-04-09,bull
2023-04-10,bull
2023-04-11,bull
2023-04-12,bull
2023-04-13,bull
2023-04-14,bull
2023-04-15,bull
2023-04-16,bull
2023-04-17,bull
2023-04-18,bull
2023-04-19,bull
2023-04-20,bull
2023-04-21,bull
2023-04-22,bull
2023-04-23,bull
2023-04-24,bull
2023-04-25,bull
2023-04-26,bull
2023-04-27,bull
2023-04-28,bull
2023-04-29,bull
2023-04-30,bull
2023-05-01,bull
2023-05-02,bull
2023-05-03,bull
2023-05-04,bull
2023-05-05,bull
2023-05-06,bull
2023-05-07,bull
2023-05-08,bull
2023-05-09,bull
2023-05-10,bull
2023-05-11,bull
2023-05-12,bull
2023-05-13,bull
2023-05-14,bull
2023-05-15,bull
2023-05-16,bull
2023-05-17,bull
2023-05-18,bull
2023-05-19,bull
2023-05-20,bull
2023-05-21,bull
2023-05-22,bull
2023-05-23,bull
2023-05-24,bull
2023-05-25,bull
2023-05-26,bull
2023-05-27,bull
2023-05-28,bull
2023-05-29,bull
2023-05-30,bull
2023-05-31,bull
2023-06-01,bull
2023-06-02,bull
2023-06-03,bull
2023-06-04,bull
2023-06-05,bull
2023-06-06,bull
2023-06-07,bull
2023-06-08,bull
2023-06-09,bull
2023-06-10,bull
2023-06-11,bull
2023-06-12,bull
2023-06-13,bull
2023-06-14,bull
2023-06-15,bull
2023-06-16,bull
2023-06-17,bull
2023-06-18,bull
2023-06-19,bull
2023-06-20,bull
2023-06-21,bull
2023-06-22,bull
2023-06-23,bull
2023-06-24,bull
2023-06-25,bull
2023-06-26,bull
2023-06-27,bull
2023-06-28,bull
2023-06-29,bull
2023-06-30,choppy
2023-07-01,choppy
2023-07-02,choppy
2023-07-03,choppy
