,open,high,low,close,volume
2023-01-01,31000.0,31149.320717833038,30696.35035123531,30887.34483035542,1880999.1768262268
2023-01-02,30887.34483035542,31385.500576478466,30816.281417123588,31198.73282524396,4486130.136290989
2023-01-03,31198.73282524396,33010.062952827706,30833.565244409838,32468.143478319114,8261487.354658204
2023-01-04,32468.143478319114,32777.40364864786,31970.508559354883,32118.752160674307,2105624.410832408
2023-01-05,32118.752160674307,32411.088167001013,31448.130297043008,31600.749848369265,4531881.165229274
2023-01-06,31600.749848369265,31833.087673301292,31061.347148120723,31228.52768522402,4944787.533110289
2023-01-07,31228.52768522402,31678.89261606883,30233.471279336918,30595.24662131486,2977522.788378563
2023-01-08,30595.24662131486,30985.83519237016,29070.913107716635,29473.396160671422,5952640.692298424
2023-01-09,29473.396160671422,29604.95975092312,28666.637711636173,28923.823085707696,4101021.9606248643
2023-01-10,28923.823085707696,29995.893310438274,28737.031916166285,29631.425766267264,6544556.696433631
2023-01-11,29631.425766267264,29691.009418826183,29336.895427813222,29508.776685117606,3962349.6577726007
2023-01-12,29508.776685117606,29794.434907038463,29339.145224002936,29618.339354520587,2667688.2413930856
2023-01-13,29618.339354520587,30176.87906398827,29509.76136933763,29923.885887083157,2530083.163996109
2023-01-14,29923.885887083157,29972.641567392126,29603.521557043347,29776.630855862484,6152061.380150143
2023-01-15,29776.630855862484,29853.80402042039,29273.101829068975,29495.916033598147,5482011.947590143
2023-01-16,29495.916033598147,29541.556680953214,29430.189506797404,29478.112536969456,3779310.913999674
2023-01-17,29478.112536969456,29756.86698427265,29163.88171579271,29228.31388709231,3839613.497973113
2023-01-18,29228.31388709231,29800.61304568028,27967.21877862869,28525.83614136481,6227241.6647728365
2023-01-19,28525.83614136481,28712.441940636047,28127.647276153144,28296.43566073883,3591093.5080441874
2023-01-20,28296.43566073883,28868.59984526906,28157.42779521917,28661.713609821192,2682082.4868251337
2023-01-21,28661.713609821192,28761.87584925094,28594.50034598937,28724.412893635825,2651150.508423365
2023-01-22,28724.412893635825,29165.6097911761,28409.353253280777,29031.344696934586,2733498.9211508455
2023-01-23,29031.344696934586,29116.07763416226,28532.030575565324,28792.708324241907,2100275.6978585534
2023-01-24,28792.708324241907,29111.373098802764,28606.795594752257,28947.592959429974,2580168.627613646
2023-01-25,28947.592959429974,29638.653562777115,28749.621356963507,29525.673208348475,2579292.4518787507
2023-01-26,29525.673208348475,29618.16862145461,29117.881231898118,29362.349583035648,2814859.8874094756
2023-01-27,29362.349583035648,29642.37888130941,28666.815954043406,28907.298279171777,3686579.055167862
2023-01-28,28907.298279171777,29040.364115030403,28518.858392372847,28665.081167202945,2753279.9383804663
2023-01-29,28665.081167202945,28891.98084995155,28536.731640622434,28788.51361526002,2199174.430608967
2023-01-30,28788.51361526002,28866.071190823855,28262.101364394955,28409.30817724985,5118200.318693522
2023-01-31,28409.30817724985,28577.00076469598,28334.57976475501,28517.816648398115,2691913.066878935
2023-02-01,28517.816648398115,30171.209310638496,28273.33729011899,29513.326754606835,6016784.551564995
2023-02-02,29513.326754606835,29770.00475390733,28710.38200076984,28974.552812377653,3901388.571484981
2023-02-03,28974.552812377653,30196.398386652403,28655.282111953566,29953.097983840144,4159436.1707993783
2023-02-04,29953.097983840144,30566.118014373656,29848.74054767667,30472.253715982875,4503754.323260618
2023-02-05,30472.253715982875,30801.47839532861,29856.695623055777,30067.351457312474,4913992.700369101
2023-02-06,30067.351457312474,30478.750485791512,29400.25947024869,29598.172525012873,2882195.459222688
2023-02-07,29598.172525012873,30787.164358174883,29355.60728142052,30614.124082768056,6223664.919083682
2023-02-08,30614.124082768056,31565.392655590444,30417.857480486615,31148.21776081822,4169092.244400736
2023-02-09,31148.21776081822,32784.965277373834,30762.873975283004,32171.29266053838,3495115.1007445124
2023-02-10,32171.29266053838,32411.95396735391,32020.294918171978,32231.33901441085,1789514.041617438
2023-02-11,32231.33901441085,33282.56007004184,32083.34878039838,32888.26855430938,8055786.863491854
2023-02-12,32888.26855430938,33052.22675657528,32772.280173113235,32884.482689663615,3200951.157685375
2023-02-13,32884.482689663615,33202.09947518845,32727.228204891642,33040.17183987839,5623220.838997398
2023-02-14,33040.17183987839,34849.795891667934,32502.967429162894,34113.39619292362,5220573.005631857
2023-02-15,34113.39619292362,35635.496505874806,33424.992491249366,35340.28279701086,4490799.845830249
2023-02-16,35340.28279701086,36047.69051107827,34967.66548094462,35811.601358247266,4433452.828248103
2023-02-17,35811.601358247266,36203.31493157655,35541.97379343166,36067.06395905423,3408371.14459935
2023-02-18,36067.06395905423,37280.861372689586,35576.88633949366,37047.89176466626,7862154.697046519
2023-02-19,37047.89176466626,37144.89144752697,36927.27698574249,37045.007083306664,4720555.914030203
2023-02-20,37045.007083306664,37480.07391985431,36917.91574265162,37252.80849732335,4450357.538607747
2023-02-21,37252.80849732335,37674.28712351421,36330.76737205285,36728.899763893096,3730077.4814519943
2023-02-22,36728.899763893096,36983.145335785,35765.820135996124,36194.728516015224,2745860.440338515
2023-02-23,36194.728516015224,36454.41985573065,35859.15880695292,35989.34911314353,3363140.0930318288
2023-02-24,35989.34911314353,36272.66984193317,35447.27763923164,35662.70136370673,2858768.972845133
2023-02-25,35662.70136370673,35923.19321148099,35214.51326792188,35398.04680191448,4092073.019357169
2023-02-26,35398.04680191448,35469.62918190795,35218.06876686765,35394.05803154769,2391377.906806461
2023-02-27,35394.05803154769,35655.22520797409,34888.02155245991,35017.79616343506,2140528.1499137897
2023-02-28,35017.79616343506,35163.64676848346,34806.43943317037,34986.89642217791,5737063.398559787
2023-03-01,34986.89642217791,35373.05691962709,33721.43306435445,34129.68627544418,2280809.5092835976
2023-03-02,34129.68627544418,34767.76768045563,32586.810006096654,33254.88558492805,4272523.186158385
2023-03-03,33254.88558492805,33420.02893837242,33120.6828119547,33268.91600913453,3020883.7780354475
2023-03-04,33268.91600913453,33483.02600964734,33081.699598211635,33315.624513751754,2329140.919587697
2023-03-05,33315.624513751754,33522.72349568636,32743.21675216085,33029.75484166643,3611436.349780376
2023-03-06,33029.75484166643,33498.78434873125,32795.65150602437,33282.624256065,3646811.0209908127
2023-03-07,33282.624256065,33569.34528446386,32770.4333039179,32936.09044501256,5412106.26913155
2023-03-08,32936.09044501256,33450.705273276624,32762.297455105603,33316.1127550075,4328532.625290489
