,open,high,low,close,volume
2023-01-01,1600.0,1615.2142770065707,1590.0459006300327,1611.931994141288,2560595.1034597834
2023-01-02,1611.931994141288,1624.8180824623553,1564.269897816172,1581.6615597080934,7436726.167230259
2023-01-03,1581.6615597080934,1647.5757870906787,1558.2660052925278,1621.253902784046,4759886.058856372
2023-01-04,1621.253902784046,1644.4320178167557,1612.2594787605958,1634.962545533973,3822989.573307668
2023-01-05,1634.962545533973,1647.717595386071,1604.8176772657168,1615.7939071533476,2717454.411365937
2023-01-06,1615.7939071533476,1659.880178775346,1594.6403391563795,1648.0409894227748,3186179.0140051167
2023-01-07,1648.0409894227748,1674.3692355719538,1565.5958888592513,1582.2462347009277,2817039.561258476
2023-01-08,1582.2462347009277,1593.3225164092846,1521.978788297043,1530.0682203585313,4911327.578965611
2023-01-09,1530.0682203585313,1537.3173533819906,1526.212281208485,1529.5373585094064,3456686.7324798033
2023-01-10,1529.5373585094064,1590.1156226449143,1506.551302175219,1566.3953805768874,4975110.641385984
2023-01-11,1566.3953805768874,1575.8658822195512,1531.6040772949107,1541.4837009518021,3062337.9698312767
2023-01-12,1541.4837009518021,1552.810896146815,1534.8724728442987,1548.6701235632586,4657394.137232339
2023-01-13,1548.6701235632586,1577.8367495126479,1534.2322177235044,1570.847875594936,2298697.50428872
2023-01-14,1570.847875594936,1644.0280259504564,1539.9392304348892,1621.35629148757,5355184.374859295
2023-01-15,1621.35629148757,1649.2761064519163,1550.9408381464245,1575.9555617765566,2488121.942063077
2023-01-16,1575.9555617765566,1580.4636212093585,1567.6945342054055,1573.859656030636,4149221.246521041
2023-01-17,1573.859656030636,1598.512793622569,1519.9182463553636,1543.978609120482,1958270.5908450738
2023-01-18,1543.978609120482,1562.9504464412948,1509.6228422529975,1521.9199398316846,2955835.4093772597
2023-01-19,1521.9199398316846,1528.638699907767,1492.0380486287622,1505.3143543414621,4112655.2553694453
2023-01-20,1505.3143543414621,1581.8948422499218,1479.2718276131327,1548.654681325654,6171384.995637788
2023-01-21,1548.654681325654,1559.5728401612296,1546.4836757581616,1551.1237251936004,3641470.8589301063
2023-01-22,1551.1237251936004,1557.9138865614693,1541.3062736794202,1546.8932153640617,2150924.7937773834
2023-01-23,1546.8932153640617,1582.4907942080158,1524.978045819209,1576.8244453641933,5347475.650008009
2023-01-24,1576.8244453641933,1593.0705125715688,1537.6431944310311,1548.455406745627,2674369.793922825
2023-01-25,1548.455406745627,1573.9600213651713,1533.506357971528,1564.5211394042908,3143463.5635357546
2023-01-26,1564.5211394042908,1575.8725906885918,1556.0633499355524,1571.4342075732686,3165449.144945275
2023-01-27,1571.4342075732686,1587.894469943608,1542.8346683329462,1550.2580079964548,4656569.873443148
2023-01-28,1550.2580079964548,1552.8815329858055,1538.0700979982707,1545.5721892760746,3218091.7409906783
2023-01-29,1545.5721892760746,1558.0070470709218,1524.9048812689891,1530.617018393025,2714917.3109823614
2023-01-30,1530.617018393025,1546.9636945645766,1525.2535433386283,1539.3176260591695,3286608.8646928077
2023-01-31,1539.3176260591695,1543.764815516622,1525.0592539075399,1534.4132393257762,4145579.155397516
2023-02-01,1534.4132393257762,1575.0502408226653,1524.6200470194494,1559.6178662981276,5008909.84080193
2023-02-02,1559.6178662981276,1563.6681829006009,1543.721067261841,1550.1596770248573,6175159.016766598
2023-02-03,1550.1596770248573,1557.8185084780985,1532.74651857134,1541.382527381503,4968946.4490817655
2023-02-04,1541.382527381503,1569.5931453359653,1533.0389108315696,1559.3220043541196,2552595.7059157067
2023-02-05,1559.3220043541196,1570.4437266440493,1552.4664435505376,1564.0101423462288,3930406.478244683
2023-02-06,1564.0101423462288,1591.5188665199016,1501.5542482569142,1525.3497709779774,2574860.167246556
2023-02-07,1525.3497709779774,1531.1196496334276,1511.613545844433,1517.8661300745475,2921955.167768581
2023-02-08,1517.8661300745475,1611.9680626500303,1475.5821943870565,1577.2891802723568,3972253.5599335656
2023-02-09,1577.2891802723568,1590.8548941840843,1570.8448903187245,1581.400898359226,2498286.552527698
2023-02-10,1581.400898359226,1591.4799304937678,1498.7242372080284,1531.7996716115929,3997483.6538020126
2023-02-11,1531.7996716115929,1557.433136754523,1523.939402168559,1547.7778501326884,2207772.1486573517
2023-02-12,1547.7778501326884,1553.5198395073123,1523.8734937806096,1534.4138124817441,3764300.357357996
2023-02-13,1534.4138124817441,1561.5979849480207,1525.4249036418319,1551.546722283094,3850350.3613206325
2023-02-14,1551.546722283094,1565.7627102675335,1506.7840183726635,1524.9429831389177,5644165.571627631
2023-02-15,1524.9429831389177,1531.1169982162037,1517.3238586327022,1527.923380186927,2037993.9390118285
2023-02-16,1527.923380186927,1535.6700930906866,1499.7620528865011,1512.8232107573285,4374037.704829958
2023-02-17,1512.8232107573285,1592.934003006501,1495.6839917098137,1567.043420664753,6055157.759923747
2023-02-18,1567.043420664753,1606.9564190198346,1546.1188574967814,1590.9020801626796,4793440.503302407
2023-02-19,1590.9020801626796,1608.5237562644884,1582.001464576893,1600.8941762873458,2439581.5961541804
2023-02-20,1600.8941762873458,1623.940323105382,1593.9604363706817,1616.5669482503652,2013794.0424993641
2023-02-21,1616.5669482503652,1635.4065702108564,1601.127523626524,1629.3201527197486,4644050.524623092
2023-02-22,1629.3201527197486,1650.7583546078847,1597.2820335332801,1606.7837054683575,2582779.781179921
2023-02-23,1606.7837054683575,1618.9928083446978,1581.5817995153575,1591.550707758338,3179844.958091618
2023-02-24,1591.550707758338,1598.4256724757938,1588.0702631268357,1592.11139774228,2064129.0492670047
2023-02-25,1592.11139774228,1618.9251848223773,1584.8987774620375,1605.191850855576,3319394.2949801474
2023-02-26,1605.191850855576,1632.1461233818502,1542.3816463868104,1568.3833138082807,3677998.91116578
2023-02-27,1568.3833138082807,1608.7817791667321,1487.5488968060079,1512.831471164055,8228877.530083152
2023-02-28,1512.831471164055,1522.7129295567067,1508.4943671591786,1515.2137029971714,3267199.195356028
2023-03-01,1515.2137029971714,1529.3210888864442,1454.9395884861397,1478.6918573389846,4479985.48566606
2023-03-02,1478.6918573389846,1484.3068804723148,1455.1045823248742,1465.9513911532395,3775321.507260272
2023-03-03,1465.9513911532395,1558.6959694621535,1430.6351039243011,1519.031689818369,5199952.447889436
2023-03-04,1519.031689818369,1528.1482622021922,1490.7099241236933,1505.1056929241765,2372933.4258492356
2023-03-05,1505.1056929241765,1513.956777434797,1498.8630441593111,1510.8547378620203,3184604.3012338965
2023-03-06,1510.8547378620203,1564.6822695985181,1503.9404241764887,1543.410716703789,4530910.4402130125
2023-03-07,1543.410716703789,1593.3460628311639,1536.0522695018112,1571.2865389378712,3792694.6478666365
2023-03-08,1571.2865389378712,1586.2828748821212,1527.1095804860347,1547.2545636790742,3066528.642413489
2023-03-09,1547.2545636790742,1564.6385575751092,1538.205540369719,1554.373985855736,4184339.239936923
2023-03-10,1554.373985855736,1562.2080903343756,1541.4042309545475,1546.729397844894,3831586.001597753
2023-03-11,1546.729397844894,1583.2565470543666,1535.4585525559387,1572.1981718365678,4282294.445037646
2023-03-12,1572.1981718365678,1616.2177132323545,1564.0409727350268,1601.0230671446116,2720761.8029136173
2023-03-13,1601.0230671446116,1622.5093596077809,1587.129441111931,1615.867625129772,3150797.7950467085
2023-03-14,1615.867625129772,1622.8220023831989,1613.2018469603343,1617.4842526288899,2609335.217683801
2023-03-15,1617.4842526288899,1633.3732978872472,1608.156694594058,1624.5475532614428,3107640.186639804
2023-03-16,1624.5475532614428,1668.1584521497807,1613.9219254854318,1649.4310538897291,5656764.524101891
2023-03-17,1649.4310538897291,1659.0510360315577,1628.9661376537124,1635.4170738407952,4809652.411155005
2023-03-18,1635.4170738407952,1643.099122525738,1614.6918799255818,1626.2033281138424,3916426.5313039874
2023-03-19,1626.2033281138424,1654.9229247582618,1610.6668679218185,1639.187123612247,3238787.5480474913
2023-03-20,1639.187123612247,1690.539171785344,1624.6286666866747,1669.6701383657467,2432154.4927062877
2023-03-21,1669.6701383657467,1681.7522241301695,1615.2463700766243,1630.7040275045274,3828831.740300272
2023-03-22,1630.7040275045274,1654.7276341532386,1554.4284996854096,1586.468346270708,2907515.8388033044
2023-03-23,1586.468346270708,1639.5419558315602,1564.2530025775518,1617.2303171937224,4217030.116005424
2023-03-24,1617.2303171937224,1639.6728819158939,1581.853001032458,1588.547094316766,3716596.376778456
2023-03-25,1588.547094316766,1604.87850798735,1584.0372602889045,1595.7927725370446,5495660.9112445135
2023-03-26,1595.7927725370446,1613.5035041392284,1554.4959895098987,1568.9429985093889,4315125.780062033
2023-03-27,1568.9429985093889,1578.4187888929014,1565.7654726752198,1575.7510949753369,4254568.053040904
2023-03-28,1575.7510949753369,1585.7162131986113,1569.67430038253,1578.2529836420788,2936966.1503588916
2023-03-29,1578.2529836420788,1600.2028187442327,1563.9727432821167,1591.9772317339953,4307461.84116638
2023-03-30,1591.9772317339953,1610.8998293118516,1541.4136892913934,1563.8099282948274,2755398.533154909
2023-03-31,1563.8099282948274,1603.6453214050891,1543.9992424323707,1585.4606269155313,4576892.98828527
2023-04-01,1585.4606269155313,1596.2234028638632,1568.3890901719205,1579.3776307324163,3672854.384814098
2023-04-02,1579.3776307324163,1608.5196788380224,1568.1254962408232,1601.5789220783965,2877184.7583779464
2023-04-03,1601.5789220783965,1627.3960221890138,1542.6736577661823,1565.1874806867468,2852496.8097884404
2023-04-04,1565.1874806867468,1646.9478409418048,1541.1080487957702,1624.0625376260114,3394224.4421623303
2023-04-05,1624.0625376260114,1635.8453894338857,1615.8394077489365,1631.2010122616311,1933352.5305310048
2023-04-06,1631.2010122616311,1663.3595224862393,1619.5078348969932,1648.096003246068,2427068.7677793577
