seed,total_return_pct,sharpe,sortino,max_dd_pct,max_daily_dd_pct,max_weekly_dd_pct,cb_trips,win_rate_pct,expectancy_r,n_trades
0,-7.28,-0.539,-0.507,14.33,2.46,3.53,0,25.0,-0.219,32
1,22.61,1.36,1.597,5.3,2.0,2.35,0,51.7,0.399,29
2,-7.6,-0.404,-0.483,15.17,2.73,4.24,0,27.3,-0.124,44
3,33.42,1.812,1.902,4.65,2.43,4.65,0,53.8,0.76,26
4,6.13,0.43,0.422,6.28,2.6,3.35,0,32.3,0.105,31
5,15.73,1.114,1.203,9.83,2.24,3.56,0,34.8,0.365,23
7,8.16,0.526,0.587,8.42,2.21,3.66,0,35.5,0.212,31
10,5.36,0.422,0.511,6.41,1.53,4.44,0,36.7,0.133,30
15,31.41,1.958,2.268,7.9,2.0,2.77,0,40.9,0.824,22
20,0.42,0.065,0.062,9.38,2.16,2.6,0,38.9,-0.122,18
30,2.2,0.173,0.175,6.66,2.08,3.97,0,36.1,0.04,36
42,7.27,0.636,0.643,7.53,1.4,2.48,0,25.9,0.195,27
50,5.28,0.441,0.451,6.82,2.51,2.94,0,30.8,0.115,26
99,7.93,0.569,0.608,10.53,1.89,4.01,0,27.3,0.093,33
100,19.02,1.155,1.25,10.33,2.04,3.88,0,58.3,0.427,24
200,35.67,1.698,1.888,6.55,3.97,5.11,1,62.5,0.794,24
300,20.72,1.514,1.453,4.67,2.44,3.07,0,34.6,0.442,26
500,6.21,0.429,0.434,7.87,3.1,3.45,1,42.9,0.116,35
999,47.15,2.296,2.801,9.43,2.41,2.64,0,60.9,0.498,23
1234,8.64,0.518,0.538,9.25,2.38,5.19,1,32.4,0.263,37
