fast,slow,atr_init_mult,total_return_pct,sharpe,max_weekly_dd_pct,cb_trips,n_trades,expectancy_r
16,60,2.5,10.83,0.961,2.39,0,24,0.262
16,60,2.0,10.83,0.961,2.39,0,24,0.262
16,60,3.0,10.83,0.961,2.39,0,24,0.262
16,48,2.5,11.21,0.956,2.48,0,25,0.272
16,48,3.0,11.21,0.956,2.48,0,25,0.272
16,48,2.0,11.21,0.956,2.48,0,25,0.272
12,60,2.5,10.5,0.869,2.39,0,27,0.241
12,60,3.0,10.5,0.869,2.39,0,27,0.241
12,60,2.0,10.5,0.869,2.39,0,27,0.241
12,40,2.5,9.9,0.76,2.47,0,34,0.207
12,40,2.0,9.9,0.76,2.47,0,34,0.207
12,40,3.0,9.9,0.76,2.47,0,34,0.207
12,48,2.0,7.27,0.636,2.48,0,27,0.195
12,48,2.5,7.27,0.636,2.48,0,27,0.195
12,48,3.0,7.27,0.636,2.48,0,27,0.195
8,40,2.0,8.72,0.623,2.47,0,42,0.162
8,40,3.0,8.72,0.623,2.47,0,42,0.162
8,40,2.5,8.72,0.623,2.47,0,42,0.162
8,48,2.0,8.13,0.588,2.54,0,40,0.168
8,48,2.5,8.13,0.588,2.54,0,40,0.168
8,48,3.0,8.13,0.588,2.54,0,40,0.168
8,60,2.0,5.86,0.506,2.45,0,30,0.149
8,60,3.0,5.86,0.506,2.45,0,30,0.149
8,60,2.5,5.86,0.506,2.45,0,30,0.149
16,40,2.0,3.13,0.3,2.56,0,29,0.076
16,40,2.5,3.13,0.3,2.56,0,29,0.076
16,40,3.0,3.13,0.3,2.56,0,29,0.076
