seed,bot,total_return_pct,sharpe,max_dd_pct,max_daily_dd_pct,max_weekly_dd_pct,cb_trips,n_trades
0,ema_atr_trend,-7.28,-0.539,14.33,2.46,2.58,0.0,32.0
0,donchian_breakout,-3.64,-0.151,15.96,2.66,3.25,0.0,52.0
0,momentum_regime,17.81,1.097,10.08,1.52,2.65,0.0,67.0
0,dual_momentum_adaptive,23.14,1.194,8.2,2.66,2.88,0.0,69.0
0,ENSEMBLE_4x25pct,7.51,0.574,9.32,1.86,2.17,,
1,ema_atr_trend,22.61,1.359,5.3,2.0,2.31,0.0,29.0
1,donchian_breakout,21.91,1.042,9.36,2.04,4.07,0.0,45.0
1,momentum_regime,9.17,0.614,6.91,2.12,2.99,0.0,68.0
1,dual_momentum_adaptive,13.69,0.662,9.47,2.38,3.36,0.0,87.0
1,ENSEMBLE_4x25pct,16.84,1.093,4.43,1.75,2.17,,
2,ema_atr_trend,-7.6,-0.404,15.17,2.73,3.21,0.0,44.0
2,donchian_breakout,-3.87,-0.141,20.2,2.67,3.47,0.0,49.0
2,momentum_regime,-5.4,-0.345,12.02,2.04,3.21,0.0,69.0
2,dual_momentum_adaptive,-9.96,-0.553,19.23,1.98,2.74,0.0,63.0
2,ENSEMBLE_4x25pct,-6.71,-0.469,15.7,1.8,2.08,,
3,ema_atr_trend,33.42,1.81,4.65,2.43,4.65,0.0,26.0
3,donchian_breakout,44.23,1.885,5.78,4.04,3.09,1.0,50.0
3,momentum_regime,70.11,3.017,5.31,1.84,2.87,0.0,63.0
3,dual_momentum_adaptive,33.36,1.629,6.5,2.17,2.55,0.0,65.0
3,ENSEMBLE_4x25pct,45.28,2.442,4.38,2.44,2.19,,
4,ema_atr_trend,6.13,0.429,6.28,2.6,3.35,0.0,31.0
4,donchian_breakout,-0.35,0.03,18.2,3.17,3.17,1.0,56.0
4,momentum_regime,10.78,0.744,12.04,2.29,2.86,0.0,60.0
4,dual_momentum_adaptive,5.78,0.347,16.32,3.02,3.56,1.0,76.0
4,ENSEMBLE_4x25pct,5.58,0.429,9.0,2.1,2.35,,
5,ema_atr_trend,15.73,1.113,9.83,2.24,3.42,0.0,23.0
5,donchian_breakout,83.18,2.826,7.57,2.32,3.5,0.0,43.0
5,momentum_regime,65.84,2.769,6.19,1.9,3.06,0.0,74.0
5,dual_momentum_adaptive,79.61,2.896,7.08,2.31,3.5,0.0,72.0
5,ENSEMBLE_4x25pct,61.09,3.089,6.19,1.79,2.76,,
7,ema_atr_trend,8.16,0.526,8.42,2.21,3.66,0.0,31.0
7,donchian_breakout,33.16,0.994,13.04,4.9,4.9,1.0,48.0
7,momentum_regime,10.71,0.641,7.23,2.1,3.2,0.0,62.0
7,dual_momentum_adaptive,0.65,0.08,11.72,2.0,3.19,0.0,61.0
7,ENSEMBLE_4x25pct,13.17,0.838,6.88,2.12,2.57,,
42,ema_atr_trend,7.27,0.636,7.53,1.4,2.31,0.0,27.0
42,donchian_breakout,-1.03,-0.012,12.35,2.48,3.73,0.0,53.0
42,momentum_regime,-2.04,-0.087,9.36,1.87,2.89,0.0,81.0
42,dual_momentum_adaptive,10.4,0.669,10.12,2.0,3.2,0.0,65.0
42,ENSEMBLE_4x25pct,3.65,0.327,7.53,1.53,1.93,,
99,ema_atr_trend,7.93,0.569,10.53,1.89,4.01,0.0,33.0
99,donchian_breakout,25.23,1.109,14.83,2.98,6.63,1.0,55.0
99,momentum_regime,9.73,0.628,7.95,2.05,2.97,0.0,69.0
99,dual_momentum_adaptive,15.16,0.759,7.88,3.14,3.55,1.0,80.0
99,ENSEMBLE_4x25pct,14.51,0.942,8.15,2.27,3.41,,
100,ema_atr_trend,19.02,1.154,10.33,2.04,3.26,0.0,24.0
100,donchian_breakout,33.38,1.333,9.45,2.81,3.81,0.0,53.0
100,momentum_regime,45.76,2.168,4.25,2.26,2.24,0.0,61.0
100,dual_momentum_adaptive,42.87,1.959,6.04,1.68,2.94,0.0,69.0
100,ENSEMBLE_4x25pct,35.26,2.034,5.95,1.6,2.61,,
